XATEROPHCVRANGA;3×;0.2%;" "
ZIDROMPHZVLCOTH;3×;0.2%;" "
ADOXATEROPHCVRA;3×;0.2%;" "
NGAZIDROMPHZVLC;3×;0.2%;" "
PVLADOXATEROPHC;3×;0.2%;" "
VRANGAZIDROMPHZ;3×;0.2%;" "
ATEROPHCVRANGAZ;3×;0.2%;" "
IDROMPHZVLCOTHN;3×;0.2%;" "
DOXATEROPHCVRAN;3×;0.2%;" "
GAZIDROMPHZVLCO;3×;0.2%;" "
VLADOXATEROPHCV;3×;0.2%;" "
RANGAZIDROMPHZV;3×;0.2%;" "
TEROPHCVRANGAZI;3×;0.2%;" "
DROMPHZVLCOTHNA;3×;0.2%;" "
OXATEROPHCVRANG;3×;0.2%;" "
AZIDROMPHZVLCOT;3×;0.2%;" "
LADOXATEROPHCVR;3×;0.2%;" "
ANGAZIDROMPHZVL;3×;0.2%;" "
EROPHCVRANGAZID;3×;0.2%;" "
ROMPHZVLCOTHNAX;3×;0.2%;" "
ROPHCVRANGAZIDR;3×;0.2%;" "
OMPHZVLCOTHNAXO;3×;0.2%;" "
OPHCVRANGAZIDRO;3×;0.2%;" "
MPHZVLCOTHNAXOR;3×;0.2%;" "
PHCVRANGAZIDROM;3×;0.2%;" "
PHZVLCOTHNAXORG;3×;0.2%;" "
NEPVLADOXATEROP;3×;0.2%;" "
HCVRANGAZIDROMP;3×;0.2%;" "
HZVLCOTHNAXORGA;3×;0.2%;" "
EPVLADOXATEROPH;3×;0.2%;" "
CVRANGAZIDROMPH;3×;0.2%;" "
ZVLCOTHNAXORGAL;3×;0.2%;" "
NGALPAXLARCHZIC;2×;0.13%;" "
HASTORGNERGOTHZ;2×;0.13%;" "
ANGALPAXLARCHZI;2×;0.13%;" "
CHASTORGNERGOTH;2×;0.13%;" "
NGENVACHLEXARON;2×;0.13%;" "
PANCHOLAXARONPH;2×;0.13%;" "
OPORONGENVACHLE;2×;0.13%;" "
XARONPANCHOLAXA;2×;0.13%;" "
GALPAXLARCHZICH;2×;0.13%;" "
ASTORGNERGOTHZA;2×;0.13%;" "
ANOXDETHHOPORON;2×;0.13%;" "
GENVACHLEXARONP;2×;0.13%;" "
ANCHOLAXARONPHA;2×;0.13%;" "
PORONGENVACHLEX;2×;0.13%;" "
ARONPANCHOLAXAR;2×;0.13%;" "
ALPAXLARCHZICHA;2×;0.13%;" "
STORGNERGOTHZAD;2×;0.13%;" "
NOXDETHHOPORONG;2×;0.13%;" "
ENVACHLEXARONPA;2×;0.13%;" "
ORONGENVACHLEXA;2×;0.13%;" "
RONPANCHOLAXARO;2×;0.13%;" "
ZVDRABRACHNERVE;2×;0.13%;" "
DARGATHLEXADARG;2×;0.13%;" "
LPAXLARCHZICHAS;2×;0.13%;" "
TORGNERGOTHZADR;2×;0.13%;" "
OXDETHHOPORONGE;2×;0.13%;" "
NVACHLEXARONPAN;2×;0.13%;" "
RONGENVACHLEXAR;2×;0.13%;" "
ONPANCHOLAXARON;2×;0.13%;" "
VDRABRACHNERVEX;2×;0.13%;" "
ARGATHLEXADARGG;2×;0.13%;" "
PAXLARCHZICHAST;2×;0.13%;" "
XDETHHOPORONGEN;2×;0.13%;" "
VACHLEXARONPANC;2×;0.13%;" "
ONGENVACHLEXARO;2×;0.13%;" "
NPANCHOLAXARONP;2×;0.13%;" "
DRABRACHNERVEXL;2×;0.13%;" "
RGATHLEXADARGGA;2×;0.13%;" "
AXLARCHZICHASTO;2×;0.13%;" "
DETHHOPORONGENV;2×;0.13%;" "
ACHLEXARONPANCH;2×;0.13%;" "
RABRACHNERVEXLE;2×;0.13%;" "
GATHLEXADARGGAR;2×;0.13%;" "
XLARCHZICHASTOR;2×;0.13%;" "
ETHHOPORONGENVA;2×;0.13%;" "
CHLEXARONPANCHO;2×;0.13%;" "
VROPOGYDORCHILA;2×;0.13%;" "
LARCHZICHASTORG;2×;0.13%;" "
THHOPORONGENVAC;2×;0.13%;" "
HLEXARONPANCHOL;2×;0.13%;" "
ROPOGYDORCHILAR;2×;0.13%;" "
