DROMPHLIP,2×,0.16%,
RANPAREMA,2×,0.16%,
GOXZIDRAM,2×,0.16%,
PTOTAXLAR,2×,0.16%,
ANPAREMAG,2×,0.16%,
OXZIDRAMP,2×,0.16%,
IRACHAALA,2×,0.16%,
NPAREMAGO,2×,0.16%,
XZIDRAMPT,2×,0.16%,
RACHAALAP,2×,0.16%,
PAREMAGOX,2×,0.16%,
ZIDRAMPTO,2×,0.16%,
ACHAALAPZ,2×,0.16%,
LETHORANP,2×,0.16%,
AREMAGOXZ,2×,0.16%,
IDRAMPTOT,2×,0.16%,
CHAALAPZV,2×,0.16%,
ETHORANPA,2×,0.16%,
REMAGOXZI,2×,0.16%,
DRAMPTOTA,2×,0.16%,
HAALAPZVB,2×,0.16%,
THORANPAR,2×,0.16%,
EMAGOXZID,2×,0.16%,
RAMPTOTAX,2×,0.16%,
AALAPZVBO,2×,0.16%,
HORANPARE,2×,0.16%,
MAGOXZIDR,2×,0.16%,
AMPTOTAXL,2×,0.16%,
GADROMPHL,2×,0.16%,
ALAPZVBOT,2×,0.16%,
ORANPAREM,2×,0.16%,
AGOXZIDRA,2×,0.16%,
MPTOTAXLA,2×,0.16%,
ADROMPHLI,2×,0.16%,
MANZCHERO,1×,0.08%,
NABACHANO,1×,0.08%,
RVOGALDPA,1×,0.08%,
XLARGEPTA,1×,0.08%,
ARCLOPTAZ,1×,0.08%,
ILDOCORNE,1×,0.08%,
POGALAXOD,1×,0.08%,
OVARGENAD,1×,0.08%,
ARCHLAXOR,1×,0.08%,
PHICHASTO,1×,0.08%,
RHIBLANCH,1×,0.08%,
ONAVAROXV,1×,0.08%,
TALPVAXAR,1×,0.08%,
ONPADEMAP,1×,0.08%,
HELLICHNO,1×,0.08%,
NGALPOLOX,1×,0.08%,
DADRANOXA,1×,0.08%,
POLGETHOX,1×,0.08%,
LIBANCHGA,1×,0.08%,
HIRACHAAL,1×,0.08%,
APZVBOTGA,1×,0.08%,
SIRACHAAL,1×,0.08%,
APZVBOTNA,1×,0.08%,
LBODOGRAX,1×,0.08%,
VXFRALDEH,1×,0.08%,
OXAMACHER,1×,0.08%,
DABANOXZI,1×,0.08%,
RNAMPHALG,1×,0.08%,
EDPHIODAP,1×,0.08%,
NIZOCHAMA,1×,0.08%,
VAHVPALBD,1×,0.08%,
EVEXORNIP,1×,0.08%,
AGRANCHOR,1×,0.08%,
DZABNLARD,1×,0.08%,
EXMARRANP,1×,0.08%,
ANSACHLEP,1×,0.08%,
OTHZICLAR,1×,0.08%,
DIXNACHAR,1×,0.08%,
ONPZIRBIL,1×,0.08%,
BALAZVCHA,1×,0.08%,
LERDRONVA,1×,0.08%,
DPIRVARAN,1×,0.08%,
ZANCHALPH,1×,0.08%,
IOXNAVIND,1×,0.08%,
AMPHGELAX,1×,0.08%,
RONGVAXNO,1×,0.08%,
LPACHORDA,1×,0.08%,
XDEHORGAX,1×,0.08%,
ONAPHONDE,1×,0.08%,
LPONGARZA,1×,0.08%,
NEMRABAXA,1×,0.08%,
LBONGRELD,1×,0.08%,
ORCHOTHDE,1×,0.08%,
GANPHAAXO,1×,0.08%,
LARVAXOPH,1×,0.08%,
ICHALMANZ,1×,0.08%,
ANCHZVRBA,1×,0.08%,
NCODRAXAN,1×,0.08%,
LEDGERPHV,1×,0.08%,
BARROLPOP,1×,0.08%,
NATOVARZI,1×,0.08%,
DCOXLETHC,1×,0.08%,
ONGNAXALP,1×,0.08%,
VIXORMARD,1×,0.08%,
EXPOLOPTA,1×,0.08%,
GEHVNADRO,1×,0.08%,
NCHIPLAXD,1×,0.08%,
EHOXNARVA,1×,0.08%,
GENPHALCR,1×,0.08%,
ONPHIODAR,1×,0.08%,
BALGPROCH,1×,0.08%,
ASTORGNEL,1×,0.08%,
OLPODOGRA,1×,0.08%,
PAGAMVIXN,1×,0.08%,
